date,day,team,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,month,quarter_Quarter2,quarter_Quarter3,quarter_Quarter4,quarter_Quarter5,department_finishing ,department_sweing,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_5,day_of_week_6
2015-01-01,Thursday,8,1.0145521433347027,-0.01319745675487568,0.7505889183804746,98,0.0,0,0,59.0,0.940725424,1,0,0,0,0,0,1,0,0,1,0,0
2015-01-01,Thursday,11,-0.9975796782965537,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,12.0,0.436326389,1,0,0,0,0,0,0,0,0,1,0,0
2015-01-01,Thursday,4,0.7887472546736758,-0.18999613671363372,0.7864373751557375,0,0.0,0,0,60.0,0.52118,1,0,0,0,0,0,1,0,0,1,0,0
2015-01-01,Thursday,7,-1.1118534073760207,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.540729167,1,0,0,0,0,1,0,0,0,1,0,0
2015-01-01,Thursday,4,-1.0167776647819042,-0.0625865616826259,-0.7191978094053102,0,0.0,0,0,18.0,0.593055556,1,0,0,0,0,1,0,0,0,1,0,0
2015-01-01,Thursday,10,-1.0167776647819042,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.705916667,1,0,0,0,0,1,0,0,0,1,0,0
2015-01-01,Thursday,5,-0.33387785980300894,-0.3281424736854568,-0.27109209971452214,50,0.0,0,0,30.5,0.707045902,1,0,0,0,0,0,1,0,0,1,0,0
2015-01-01,Thursday,10,0.38833210797922285,-0.39256304533034836,0.5713466345041593,45,0.0,0,0,54.0,0.712205247,1,0,0,0,0,0,1,0,0,1,0,0
2015-01-01,Thursday,9,1.1900765912007638,-0.1821225112903692,0.69681623321758,44,0.0,0,0,57.5,0.721126957,1,0,0,0,0,0,1,0,0,1,0,0
2015-01-01,Thursday,8,-1.1118534073760207,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.676666667,1,0,0,0,0,1,0,0,0,1,0,0
2015-01-01,Thursday,2,0.43952673860682434,-0.28161650527525733,0.42795280740310715,34,0.0,0,0,55.0,0.753097531,1,0,0,0,0,0,1,0,0,1,0,0
